"tag","SA.cm2"
"0",23.526
"1",19.279
"3",17.721
"7",18.557
"12",20.442
"13",21.204
"15",21.192
"18",14.654
"19",17.729
"21",17.581
"22",17.522
"24",18.428
"25",21.033
"27",21.317
"30",16.919
"31",19.024
"34",18.396
"37",21.168
"39",17.151
"42",13.909
"43",18.338
"46",25.142
"49",15.139
"52",14.522
"55",21.761
"61",18.158
"67",17.797
"73",18.15
"76",16.938
"88",21.689
"91",20.777
"94",24.536
"4",16.893
"5",18.477
"8",17.668
"9",18.618
"14",16.818
"20",17.328
"23",17.058
"32",17.67
"33",13.449
"35",21.104
"40",17.46
"44",22.987
"45",17.754
"47",21.567
"48",17.575
"50",14.347
"51",19.306
"53",15.547
"56",14.752
"62",14.781
"63",17.313
"64",14.616
"65",13.013
"68",19.796
"69",17.07
"70",19.448
"75",15.089
"77",17.568
"78",19.969
"79",22.189
"80",22.19
"83",15.434
"86",19.005
"87",17.77
"89",16.353
"90",19.828
"92",20.19
"95",21.579
"96",17.656
"99",22.584
NA,21.375
NA,18.371
NA,20.354
NA,16.878
NA,20.675
NA,18.41
