tag,substrate,genotype,tank
0,inert,NSU-8,5
1,inert,NSU-8,7
3,inert,SI-E,8
7,inert,SI-F,7
12,inert,SI-F,8
13,inert,NSU-8,6
15,inert,NSU-4,6
18,inert,Stag-C,6
19,inert,SI-E,7
21,inert,MB-C,6
22,inert,NSU-13,7
24,inert,Cheetos-B,6
25,inert,SI-E,6
27,inert,NSU-13,8
30,inert,Stag-C,8
31,inert,NSU-8,8
34,inert,Stag-C,7
37,inert,Stag-C,5
39,inert,MB-C,7
42,inert,SI-E,5
43,inert,NSU-4,7
46,inert,NSU-13,6
49,inert,Cheetos-B,5
52,inert,Cheetos-B,7
55,inert,NSU-4,5
61,inert,SI-F,6
67,inert,NSU-4,8
73,inert,MB-C,5
76,inert,NSU-13,5
88,inert,SI-F,5
91,inert,Cheetos-B,8
94,inert,MB-C,8
4,eAE,control,8
5,eAE,SI-E,7
8,eAE,NSU-8,6
9,eAE,NSU-13,8
14,eAE,Stag-C,7
20,eAE,Cheetos-B,5
23,eAE,control,5
32,eAE,control,8
33,eAE,NSU-8,8
35,eAE,Cheetos-B,6
40,eAE,Cheetos-B,7
44,eAE,control,6
45,eAE,NSU-13,6
47,eAE,Stag-C,8
48,eAE,control,7
50,eAE,SI-E,8
51,eAE,NSU-4,7
53,eAE,NSU-8,7
56,eAE,NSU-8,5
62,eAE,control,7
63,eAE,control,6
64,eAE,SI-E,6
65,eAE,MB-C,8
68,eAE,Stag-C,5
69,eAE,SI-F,7
70,eAE,SI-F,5
75,eAE,Stag-C,6
77,eAE,MB-C,7
78,eAE,SI-E,5
79,eAE,NSU-4,6
80,eAE,SI-F,8
83,eAE,NSU-13,5
86,eAE,control,5
87,eAE,SI-F,6
89,eAE,NSU-4,5
90,eAE,MB-C,5
92,eAE,NSU-13,7
95,eAE,NSU-4,8
96,eAE,MB-C,6
99,eAE,Cheetos-B,8
