spec_ph_id,created_timestamp,created_user,updated_timestamp,updated_user,bottle_id,spec_ph_date,spec_ph_salinity,spec_ph_temp,rm_factor,spec_ph_25,spec_ph_analyzer,spec_ph_notes,raw_source_flag,bottle_id,created_timestamp,created_user,updated_timestamp,updated_user,sample_num,bottle_name,deployment_id,legacy_flag,source_code,bottle_notes
5517,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20562,2023-09-05,34.000000000000000,25.58100,1.6862,7.9111,AEB,NULL,1,20562,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8771,PK-8771,862,0,R,NULL
5518,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20563,2023-09-05,34.000000000000000,25.59200,1.6498,7.9005,AEB,NULL,1,20563,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8772,PK-8772,862,0,R,NULL
5519,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20564,2023-09-05,34.000000000000000,25.67900,1.5111,7.8574,AEB,NULL,1,20564,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8773,PK-8773,862,0,R,NULL
5520,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20565,2023-09-05,34.000000000000000,25.60300,1.4606,7.8421,AEB,NULL,1,20565,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8776,PK-8776,862,0,R,NULL
5521,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20566,2023-09-05,34.000000000000000,25.40800,1.8296,7.9528,AEB,NULL,1,20566,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8777,PK-8777,862,0,R,NULL
5522,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20567,2023-09-05,34.000000000000000,25.49100,1.7931,7.9420,AEB,NULL,1,20567,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8778,PK-8778,862,0,R,NULL
5523,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20568,2023-09-05,34.000000000000000,25.71600,1.2580,7.7702,AEB,NULL,1,20568,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8779,PK-8779,862,0,R,NULL
5524,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20569,2023-09-05,34.000000000000000,25.69500,1.5731,7.8764,AEB,NULL,1,20569,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8782,PK-8782,862,0,R,NULL
5525,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20570,2023-09-05,34.000000000000000,25.74600,1.6169,7.8889,AEB,NULL,1,20570,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8784,PK-8784,862,0,R,NULL
5526,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20571,2023-09-05,34.000000000000000,25.77000,1.5202,7.8591,AEB,NULL,1,20571,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8788,PK-8788,862,0,R,NULL
5527,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20572,2023-09-05,34.000000000000000,25.91500,1.6789,7.9049,AEB,NULL,1,20572,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8789,PK-8789,862,0,R,NULL
5528,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20573,2023-09-05,34.000000000000000,25.96000,1.4395,7.8307,AEB,NULL,1,20573,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8791,PK-8791,862,0,R,NULL
5529,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20574,2023-09-05,34.000000000000000,25.82100,1.2604,7.7698,AEB,NULL,1,20574,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8792,PK-8792,862,0,R,NULL
5530,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20575,2023-09-05,34.000000000000000,25.77700,1.7222,7.9189,AEB,NULL,1,20575,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8793,PK-8793,862,0,R,NULL
5531,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20576,2023-09-06,34.000000000000000,26.28900,4.5476,8.4205,AEB,NULL,1,20576,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8794,PK-8794,862,0,R,NULL
5532,"2023-09-18 13:35:56",accrete,"2023-09-18 13:35:56",accrete,20577,2023-09-06,34.000000000000000,25.83900,8.9013,8.8945,AEB,NULL,1,20577,"2023-09-08 11:19:46",boyd,"2023-09-08 11:19:46",boyd,8795,PK-8795,862,0,R,NULL
