date,tag,mass,rho,mass_a,dailyMassGain,G,days,temp,sal,notes,substrate,genotype,tank,SA.cm2,experiment
2023-11-14,23,23.2719,1.0217900911166335,35.73331564969234,33.85179175788888,1.9845111828988675,8,26.6,33.6,NA,eAE,control,5,17.058,acer
2023-11-21,23,23.423,1.0204422099373633,35.939938742439864,29.517584678218206,1.7304247085366518,15,25.6,31.4,NA,eAE,control,5,17.058,acer
2023-12-07,23,23.142,1.0222517286687531,35.54245652791718,35.39217636564729,2.074813950383825,31,25.6,33.8,NA,eAE,control,5,17.058,acer
2023-12-14,23,23.2574,1.0218267014365952,35.71173648185063,24.182850561921043,1.4176838176762248,38,26,33.4,NA,eAE,control,5,17.058,acer
2023-11-15,32,22.5206,1.0215764531658202,34.57584565515392,33.35854354260892,1.8878632451957509,8,26.8,33.4,NA,eAE,control,8,17.67,acer
2023-11-30,32,22.5691,1.0216912368756308,34.652391833978236,5.10307858828772,0.2887990146173016,23,24.2,32.5,reglued,eAE,control,8,17.67,acer
2023-12-15,32,22.5309,1.0221351446810356,34.60178891390253,31.30633286742146,1.771722290176653,38,26.7,34.1,NA,eAE,control,8,17.67,acer
2023-11-15,4,22.4906,1.0215764531658202,34.5297866971486,39.559279908679024,2.341755751416505,8,26.8,33.4,NA,eAE,control,8,16.893,acer
2023-11-30,4,23.3251,1.02172063995123,35.81369920505421,85.59416719370743,5.066842313011747,23,24.1,32.5,"reglued, heavy brucite",eAE,control,8,16.893,acer
2023-12-15,4,21.8776,1.0221351446810356,33.598484620800505,40.24602322730253,2.3824082890725466,38,26.7,34.1,NA,eAE,control,8,16.893,acer
2023-11-14,44,22.8751,1.0215680060648313,35.11995356030322,33.71347103583755,1.4666320544585005,8,27.3,33.6,NA,eAE,control,6,22.987,acer
2023-11-30,44,22.8764,1.021059299460641,35.112589920190665,41.87151955017754,1.8215304106746222,24,25.8,32.3,NA,eAE,control,6,22.987,acer
2023-12-14,44,22.8201,1.0215764531658202,35.035667585907035,31.505685301447834,1.3705870840669871,38,26.8,33.4,NA,eAE,control,6,22.987,acer
2023-11-15,48,22.7489,1.0217646006382413,34.92979798105288,46.02578608229161,2.618821398707915,9,26.2,33.4,NA,eAE,control,7,17.575,acer
2023-11-21,48,22.9217,1.020253443071296,35.1672742942441,39.579385531870535,2.2520276262799737,15,26.7,31.6,NA,eAE,control,7,17.575,acer
2023-12-11,48,22.8748,1.0219020824536371,35.125641815167214,37.92946324526011,2.158148691053207,35,26,33.5,NA,eAE,control,7,17.575,acer
2023-12-15,48,22.9796,1.0223544579002706,35.29493635693462,42.32363544185169,2.408172713618873,39,26,34.1,NA,eAE,control,7,17.575,acer
2023-11-15,62,22.429,1.021702191721226,34.43748125418364,39.141092626034414,2.648067967392897,9,26.4,33.4,NA,eAE,control,7,14.781,acer
2023-11-21,62,22.5523,1.020253443071296,34.60052788694038,27.17443879278984,1.838470928407404,15,26.7,31.6,NA,eAE,control,7,14.781,acer
2023-11-30,62,22.6476,1.0220387759580563,34.77925398264867,19.858455078699123,1.3435122846017944,24,23,32.5,NA,eAE,control,7,14.781,acer
2023-12-11,62,22.8992,1.0218710579653099,35.162537772974154,34.8439809386805,2.3573493632826263,35,26.1,33.5,NA,eAE,control,7,14.781,acer
2023-12-15,62,22.9644,1.0223233574898496,35.27101527618666,27.11937580312629,1.8347456737112704,39,26.1,34.1,NA,eAE,control,7,14.781,acer
2023-11-14,63,22.8798,1.0215359758804667,35.126579884537136,35.53982997936167,2.0527828787247544,8,27.4,33.6,NA,eAE,control,6,17.313,acer
2023-11-30,63,22.5316,1.0210285825422576,34.58280590073915,38.18767834752239,2.2057227717623977,24,25.9,32.3,NA,eAE,control,6,17.313,acer
2023-12-14,63,22.5248,1.0215764531658202,34.58229390927466,39.67082908111256,2.291389654081474,38,26.8,33.4,NA,eAE,control,6,17.313,acer
2023-11-14,86,22.2262,1.021758593277559,34.127110841732346,25.099534031630455,1.320680559412284,8,26.7,33.6,NA,eAE,control,5,19.005,acer
2023-11-21,86,22.3522,1.0204117646829942,34.2963706985385,24.17997954373671,1.2722956876472882,15,25.7,31.4,NA,eAE,control,5,19.005,acer
2023-12-07,86,21.9549,1.022220975297869,33.718714886302806,0.08500689907821522,0.004472870248787963,31,25.7,33.8,reglued,eAE,control,5,19.005,acer
2023-12-14,86,21.9669,1.0217956896092106,33.729625622121574,1.5586765455383653,0.08201402502175036,38,26.1,33.4,reglued,eAE,control,5,19.005,acer
